,STID,YEAR,MONTH,DAY,value
6939,ACME,1998,1,1,0.154937081574
6940,ACME,1998,1,2,0.155001746875
6941,ACME,1998,1,3,0.1559286639
6942,ACME,1998,1,4,0.159690228663
6943,ACME,1998,1,5,0.160200403881
6944,ACME,1998,1,6,0.160099806036
6945,ACME,1998,1,7,0.16035849052
6946,ACME,1998,1,8,0.160455469503
6947,ACME,1998,1,9,0.160164481684
6948,ACME,1998,1,10,0.159819560128
6949,ACME,1998,1,11,0.159445917886
6950,ACME,1998,1,12,0.159079469396
6951,ACME,1998,1,13,0.158713008835
6952,ACME,1998,1,14,0.158353752372
6953,ACME,1998,1,15,0.158012439333
6954,ACME,1998,1,16,0.157674724462
6955,ACME,1998,1,17,0.15734418696
6956,ACME,1998,1,18,0.157006482436
6957,ACME,1998,1,19,0.156697513256
6958,ACME,1998,1,20,0.156417264761
6959,ACME,1998,1,21,0.156133458622
6960,ACME,1998,1,22,0.155864005498
6961,ACME,1998,1,23,0.15561968696
6962,ACME,1998,1,24,0.155389767997
6963,ACME,1998,1,25,0.155253224674
6964,ACME,1998,1,26,0.155109522089
6965,ACME,1998,1,27,0.154872399028
6966,ACME,1998,1,28,0.154653259915
6967,ACME,1998,1,29,0.154441274028
6968,ACME,1998,1,30,0.154232898382
6969,ACME,1998,1,31,0.156453202479
6970,ACME,1998,2,1,0.157969323384
6971,ACME,1998,2,2,0.157742982759
6972,ACME,1998,2,3,0.157502260666
6973,ACME,1998,2,4,0.157293897953
6974,ACME,1998,2,5,0.157107073383
6975,ACME,1998,2,6,0.156887906678
6976,ACME,1998,2,7,0.1566508
6977,ACME,1998,2,8,0.15642085517
6978,ACME,1998,2,9,0.156151402045
6979,ACME,1998,2,10,0.155881966165
6980,ACME,1998,2,11,0.155612504418
6981,ACME,1998,2,12,0.155368211747
6982,ACME,1998,2,13,0.155202935667
6983,ACME,1998,2,14,0.154987386963
6984,ACME,1998,2,15,0.154883178878
6985,ACME,1998,2,16,0.154994564333
6986,ACME,1998,2,17,0.155321506252
6987,ACME,1998,2,18,0.155228078878
6988,ACME,1998,2,19,0.155328693106
6989,ACME,1998,2,20,0.155170590083
6990,ACME,1998,2,21,0.15498738179
6991,ACME,1998,2,22,0.154804140731
6992,ACME,1998,2,23,0.154584995582
6993,ACME,1998,2,24,0.154380196549
6994,ACME,1998,2,25,0.154153874894
6995,ACME,1998,2,26,0.153916757868
6996,ACME,1998,2,27,0.153708380497
6997,ACME,1998,2,28,0.153514357003
6998,ACME,1998,3,1,0.153305991703
6999,ACME,1998,3,2,0.153119164547
7000,ACME,1998,3,3,0.152939529417
7001,ACME,1998,3,4,0.152770687071
7002,ACME,1998,3,5,0.152594635453
7003,ACME,1998,3,6,0.152795823383
7004,ACME,1998,3,7,0.154549068212
7005,ACME,1998,3,8,0.15477899321
7006,ACME,1998,3,9,0.154613742997
7007,ACME,1998,3,10,0.154470024892
7008,ACME,1998,3,11,0.154337087498
7009,ACME,1998,3,12,0.154186210993
7010,ACME,1998,3,13,0.15402452446
7011,ACME,1998,3,14,0.153902369502
7012,ACME,1998,3,15,0.1580842889
7013,ACME,1998,3,16,0.161112948924
7014,ACME,1998,3,17,0.162147635127
7015,ACME,1998,3,18,0.162061429097
7016,ACME,1998,3,19,0.162345233511
7017,ACME,1998,3,20,0.161734479418
7018,ACME,1998,3,21,0.161120134915
7019,ACME,1998,3,22,0.160480625646
7020,ACME,1998,3,23,0.159859085668
7021,ACME,1998,3,24,0.159287848492
7022,ACME,1998,3,25,0.158759710882
7023,ACME,1998,3,26,0.158245966811
7024,ACME,1998,3,27,0.158163333082
7025,ACME,1998,3,28,0.157645977047
7026,ACME,1998,3,29,0.157182528881
7027,ACME,1998,3,30,0.157304678665
7028,ACME,1998,3,31,0.157049584589
7029,ACME,1998,4,1,0.156632839332
7030,ACME,1998,4,2,0.156208888253
7031,ACME,1998,4,3,0.155817288793
7032,ACME,1998,4,4,0.155490352047
7033,ACME,1998,4,5,0.155206527801
7034,ACME,1998,4,6,0.155134685131
7035,ACME,1998,4,7,0.155048446335
7036,ACME,1998,4,8,0.154696372415
7037,ACME,1998,4,9,0.154376611314
7038,ACME,1998,4,10,0.15406405
7039,ACME,1998,4,11,0.15372273696
7040,ACME,1998,4,12,0.153399406144
7041,ACME,1998,4,13,0.153151517029
7042,ACME,1998,4,14,0.152917979203
7043,ACME,1998,4,15,0.152684437928
7044,ACME,1998,4,16,0.152411401292
7045,ACME,1998,4,17,0.152195836206
7046,ACME,1998,4,18,0.151926389979
7047,ACME,1998,4,19,0.151649762934
7048,ACME,1998,4,20,0.152001828231
7049,ACME,1998,4,21,0.152077293213
7050,ACME,1998,4,22,0.151764718104
7051,ACME,1998,4,23,0.151480891271
7052,ACME,1998,4,24,0.151211431248
7053,ACME,1998,4,25,0.150877320583
7054,ACME,1998,4,26,0.154204157002
7055,ACME,1998,4,27,0.156345431576
7056,ACME,1998,4,28,0.156165775753
7057,ACME,1998,4,29,0.155943044506
7058,ACME,1998,4,30,0.155648434375
7059,ACME,1998,5,1,0.155296350108
7060,ACME,1998,5,2,0.15495144321
7061,ACME,1998,5,3,0.154592186747
7062,ACME,1998,5,4,0.154182617997
7063,ACME,1998,5,5,0.153830535455
7064,ACME,1998,5,6,0.153474848708
7065,ACME,1998,5,7,0.153086827585
7066,ACME,1998,5,8,0.152713181894
7067,ACME,1998,5,9,0.153061681788
7068,ACME,1998,5,10,0.152709589761
7069,ACME,1998,5,11,0.152314392994
7070,ACME,1998,5,12,0.151933573383
7071,ACME,1998,5,13,0.15157430485
7072,ACME,1998,5,14,0.151189890519
7073,ACME,1998,5,15,0.150945576292
7074,ACME,1998,5,16,0.150568335882
7075,ACME,1998,5,17,0.150209070797
7076,ACME,1998,5,18,0.149853396983
7077,ACME,1998,5,19,0.149508505605
7078,ACME,1998,5,20,0.149213896337
7079,ACME,1998,5,21,0.148894148169
7080,ACME,1998,5,22,0.148621108946
7081,ACME,1998,5,23,0.148294160992
7082,ACME,1998,5,24,0.147967225108
7083,ACME,1998,5,25,0.147855845689
7084,ACME,1998,5,26,0.148434274892
7085,ACME,1998,5,27,0.148042673708
7086,ACME,1998,5,28,0.147636697953
7087,ACME,1998,5,29,0.14727383125
7088,ACME,1998,5,30,0.146918153125
7089,ACME,1998,5,31,0.146562476725
7090,ACME,1998,6,1,0.146192429203
7091,ACME,1998,6,2,0.145818774028
7092,ACME,1998,6,3,0.145470290517
7093,ACME,1998,6,4,0.145172099462
7094,ACME,1998,6,5,0.144823609915
7095,ACME,1998,6,6,0.14449666196
7096,ACME,1998,6,7,0.144198466593
7097,ACME,1998,6,8,0.14460085625
7098,ACME,1998,6,9,0.144744567458
7099,ACME,1998,6,10,0.145818784375
7100,ACME,1998,6,11,0.147665435883
7101,ACME,1998,6,12,0.147313348167
7102,ACME,1998,6,13,0.146882223167
7103,ACME,1998,6,14,0.146501410455
7104,ACME,1998,6,15,0.146077455064
7105,ACME,1998,6,16,0.145675084377
7106,ACME,1998,6,17,0.145308618642
7107,ACME,1998,6,18,0.144934982436
7108,ACME,1998,6,19,0.144572117458
7109,ACME,1998,6,20,0.14418770054
7110,ACME,1998,6,21,0.143885904417
7111,ACME,1998,6,22,0.143551785991
7112,ACME,1998,6,23,0.143149401509
7113,ACME,1998,6,24,0.14279730517
7114,ACME,1998,6,25,0.142441646877
7115,ACME,1998,6,26,0.14210033125
7116,ACME,1998,6,27,0.141759020797
7117,ACME,1998,6,28,0.141464425324
7118,ACME,1998,6,29,0.141133895583
7119,ACME,1998,6,30,0.140806951939
7120,ACME,1998,7,1,0.140515945151
7121,ACME,1998,7,2,0.140192594502
7122,ACME,1998,7,3,0.139865665517
7123,ACME,1998,7,4,0.139567471875
7124,ACME,1998,7,5,0.139319579311
7125,ACME,1998,7,6,0.139053711422
7126,ACME,1998,7,7,0.13878066875
7127,ACME,1998,7,8,0.13851840679
7128,ACME,1998,7,9,0.138202239547
7129,ACME,1998,7,10,0.137929196875
7130,ACME,1998,7,11,0.137659748061
7131,ACME,1998,7,12,0.137354357219
7132,ACME,1998,7,13,0.13712442446
7133,ACME,1998,7,14,0.136880123168
7134,ACME,1998,7,15,0.136571161748
7135,ACME,1998,7,16,0.13630528696
7136,ACME,1998,7,17,0.136039429417
7137,ACME,1998,7,18,0.135777161422
7138,ACME,1998,7,19,0.135518490733
7139,ACME,1998,7,20,0.135259822631
7140,ACME,1998,7,21,0.135001133835
7141,ACME,1998,7,22,0.134746052693
7142,ACME,1998,7,23,0.134494565409
7143,ACME,1998,7,24,0.134282599354
7144,ACME,1998,7,25,0.134031107758
7145,ACME,1998,7,26,0.133786805604
7146,ACME,1998,7,27,0.13353891304
7147,ACME,1998,7,28,0.133334126078
7148,ACME,1998,7,29,0.133086223167
7149,ACME,1998,7,30,0.132852704311
7150,ACME,1998,7,31,0.13264432694
7151,ACME,1998,8,1,0.132410791701
7152,ACME,1998,8,2,0.132213201941
7153,ACME,1998,8,3,0.132029970366
7154,ACME,1998,8,4,0.132076670689
7155,ACME,1998,8,5,0.13243235485
7156,ACME,1998,8,6,0.132241945907
7157,ACME,1998,8,7,0.132073085453
7158,ACME,1998,8,8,0.132464689224
7159,ACME,1998,8,9,0.132238354635
7160,ACME,1998,8,10,0.132389240625
